127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000885
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000692
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001279
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000681
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000644
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000589
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000684
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000605
127.0.0.1, 2018-04-25 21:50:34, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000953
127.0.0.1, 2018-04-25 21:50:35, GET, /start/default/index, HTTP/1.1, 200, 0.066381
127.0.0.1, 2018-04-25 21:50:42, GET, /start/default/add, HTTP/1.1, 200, 0.089660
127.0.0.1, 2018-04-25 21:50:50, POST, /start/default/add, HTTP/1.1, 303, 0.080272
127.0.0.1, 2018-04-25 21:50:50, GET, /start/default/index, HTTP/1.1, 200, 0.081931
127.0.0.1, 2018-04-25 21:50:54, GET, /start/default/add, HTTP/1.1, 200, 0.101547
127.0.0.1, 2018-04-25 21:51:00, POST, /start/default/add, HTTP/1.1, 303, 0.073829
127.0.0.1, 2018-04-25 21:51:00, GET, /start/default/index, HTTP/1.1, 200, 0.081958
127.0.0.1, 2018-04-25 21:51:02, GET, /start/default/index, HTTP/1.1, 200, 0.057197
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000685
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000635
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001520
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003803
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001923
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003192
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003995
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000650
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001652
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.002932
127.0.0.1, 2018-04-25 21:51:02, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002601
127.0.0.1, 2018-04-25 21:55:21, GET, /start/default/index, HTTP/1.1, 200, 0.260384
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002431
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001676
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.006621
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000774
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002233
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001964
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002666
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003967
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000635
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000677
127.0.0.1, 2018-04-25 21:55:21, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000578
127.0.0.1, 2018-04-25 21:55:22, GET, /start/default/index, HTTP/1.1, 200, 0.061522
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000674
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.004112
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.004913
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001837
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001517
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000647
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.004501
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.002257
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.005461
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000672
127.0.0.1, 2018-04-25 21:55:22, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.019158
127.0.0.1, 2018-04-25 21:55:56, GET, /start/default/index, HTTP/1.1, 200, 0.304435
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000720
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000602
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000652
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001812
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.004503
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000834
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.005200
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001184
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002854
